Cycles,3134418
Instructions Retired,2754578
LSU Busy,194594
Fetch Wait,185245
Loads,541202
Stores,143491
Jumps,57461
Conditional Branches,524172
Taken Conditional Branches,189441
Compressed Instructions,0
Multiply Wait,0
Divide Wait,0
I$ Tag Array Reads,1658674
I$ Data Array Reads,1658674
I$ Tag Array Writes,35939
I$ Data Array Writes,35939
I$ Evictions,0
I$ Invalidation Tag Writes,0
